#,评分,标题,品牌,类目,成色,价格,币种,购买方式,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
35,38.0,Konica Auto S3 Black 35mm Rangefinder film camera Hexanon 38mm 1:1.8 Lens,Konica,Film Cameras,For parts or not working,125.0,CAD,"FIXED_PRICE,BEST_OFFER",,CA,msbull77,100.0,2026-08-06T17:17:12.000Z,,https://www.ebay.ca/itm/206470608771?hash=item30129b7783:g:Qx8AAeSwxkhqdMFm,https://i.ebayimg.com/images/g/Qx8AAeSwxkhqdMFm/s-l225.jpg
36,38.0,Nikon Coolpix S4 Digital Camera 6MP Box Manual SD Card Cable Case Working,Nikon,Digital Cameras,Used,129.97,CAD,"FIXED_PRICE,BEST_OFFER",underpriced(med $310),CA,ypointpickers,100.0,2026-08-06T15:13:26.000Z,,https://www.ebay.ca/itm/128014035878?hash=item1dce3b2ba6:g:~cwAAeSwRYJqdKGm,https://i.ebayimg.com/images/g/~cwAAeSwRYJqdKGm/s-l225.jpg
37,38.0,Olympus Infinity STYLUS ZOOM 115 DLX 35mm Point & Shoot FILM Camera Silver NM,Olympus,Vintage Cameras,,149.75,CAD,"FIXED_PRICE,BEST_OFFER",,CA,pictures-r-us,100.0,2026-08-05T20:50:43.000Z,,https://www.ebay.ca/itm/407123062052?hash=item5eca6ced24:g:3~EAAeSwC~Zqc57F,https://i.ebayimg.com/images/g/3~EAAeSwC~Zqc57F/s-l225.jpg
38,38.0,Canon Lens EF 75-300mm f/4.0-5.6 III Telephoto Lens for Canon EOS,Canon,Lenses,Used,160.0,CAD,"FIXED_PRICE,AUCTION",mount:canon ef;auction,CA,jensellsstuff0,100.0,2026-08-06T11:12:37.000Z,2026-08-13T11:12:37.000Z,https://www.ebay.ca/itm/147486775835?hash=item2256e59a1b:g:AUcAAeSwEXNppizI,https://i.ebayimg.com/images/g/AUcAAeSwEXNppizI/s-l225.jpg
39,38.0,Canon Lens EOS EF 50mm F1.8 II for EOS DSLR inc Lens Caps,Canon,Lenses,Used,160.0,CAD,"FIXED_PRICE,AUCTION",mount:canon ef;auction,CA,jensellsstuff0,100.0,2026-08-06T11:12:16.000Z,2026-08-13T11:12:16.000Z,https://www.ebay.ca/itm/147486775116?hash=item2256e5974c:g:oQoAAeSwjoZppipn,https://i.ebayimg.com/images/g/oQoAAeSwjoZppipn/s-l225.jpg
40,38.0,Carl Zeiss Jena Pancolar 50mm f2.8 Vintage Manual Lens Exacta Mount,Zeiss,Lenses,Used,169.0,CAD,"FIXED_PRICE,BEST_OFFER",,CA,gaedw_2678,100.0,2026-08-06T15:16:05.000Z,,https://www.ebay.ca/itm/227464926440?hash=item34f5f754e8:g:~KQAAeSwOfRqdKJ1,https://i.ebayimg.com/images/g/~KQAAeSwOfRqdKJ1/s-l225.jpg
41,37.0,Yashica Auto Yashinon 5.5cm (55mm) f/1.8 M42 Mount Lens # 60516622,Yashica,Lenses,Used,49.95,CAD,"FIXED_PRICE,BEST_OFFER",mount:m42;55mm,CA,northrailgoods,99.0,2026-08-06T14:52:51.000Z,,https://www.ebay.ca/itm/407124902778?hash=item5eca89037a:g:GOcAAeSwh05qO9dE,https://i.ebayimg.com/images/g/GOcAAeSwh05qO9dE/s-l225.jpg
42,34.0,Minolta 200mm 4.5 MC Tele Rokkor -X prime lens Minolta MD mount Made In Japan,Minolta,Lenses,Used,59.99,CAD,"FIXED_PRICE,BEST_OFFER",mount:minolta md,CA,mystuff630,100.0,2026-08-06T15:29:27.000Z,,https://www.ebay.ca/itm/287507621439?hash=item42f0ca263f:g:l3gAAeSwDDdqbk2t,https://i.ebayimg.com/images/g/l3gAAeSwDDdqbk2t/s-l225.jpg
43,34.0,RMC Tokina Mirror Lens 500mm F.8 FOR Olympus OM Mount SUPERB,Olympus,Lenses,D'occasion,85.0,CAD,"FIXED_PRICE,BEST_OFFER",mount:olympus om,CA,maelkos_baggins,98.6,2026-08-05T22:51:35.000Z,,https://www.ebay.ca/itm/158158532345?hash=item24d2fbaef9:g:WScAAeSwfCxqc7y9,https://i.ebayimg.com/images/g/WScAAeSwfCxqc7y9/s-l225.jpg
44,34.0,Pentax SMC Pentax-M 28mm f/2.8 Wide Angle Lens K Mount -TESTED,Pentax,Lenses,Used,140.0,CAD,FIXED_PRICE,mount:pentax k,CA,c_ertman,99.6,2026-08-05T22:14:32.000Z,,https://www.ebay.ca/itm/168591837470?hash=item2740db491e:g:fdwAAeSw1ihqc7WF,https://i.ebayimg.com/images/g/fdwAAeSw1ihqc7WF/s-l225.jpg
