性价比,价差,参考价,样本数,评分,标题,型号,品牌,类目,成色,价格,币种,购买方式,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
超值,-31%,1399.99,38,96.0,Tested All Works [ Top MINT ] Olympus OM-3 35mm SLR Film Camera Body From JAPAN,olympus om-3,Olympus,Film Cameras,Used,959.99,USD,FIXED_PRICE,grail:OM-3;mount:olympus om;good-cond,JP,antique.21,100.0,2026-08-06T15:44:12.000Z,,https://www.ebay.com/itm/407124989839?hash=item5eca8a578f:g:jT8AAeSwk-9qdK06,https://i.ebayimg.com/images/g/jT8AAeSwk-9qdK06/s-l225.jpg
偏低,-21%,797.45,30,93.0,【TOP MINT w/ Strap】 Bronica GS-1 w/AE Prizm Finder G 6x7 Holder Zenza from JAPAN,bronica gs-1,Bronica,Film Cameras,Used,629.9,USD,FIXED_PRICE,grail:6x7;good-cond,JP,japanyuichi,100.0,2026-08-05T23:10:59.000Z,,https://www.ebay.com/itm/298562804657?hash=item4583badbb1:g:LVIAAeSwHk1qK4P~,https://i.ebayimg.com/images/g/LVIAAeSwHk1qK4P~/s-l225.jpg
偏低,-20%,2500.0,33,93.0,Meter Works 【OPTICS MINT w/ Hood Strap】PLAUBEL Makina 67 6x7 Film Camera JAPAN,plaubel 67,Plaubel,Film Cameras,Used,1999.99,USD,FIXED_PRICE,grail:6x7;good-cond,JP,ichiro-camera-japan,99.6,2026-08-06T06:51:54.000Z,,https://www.ebay.com/itm/236988715618?hash=item372da0d262:g:nycAAeSwGs1qdC7q,https://i.ebayimg.com/images/g/nycAAeSwGs1qdC7q/s-l225.jpg
偏低,-17%,2999.95,24,93.0,⏯️[ N MINT +++] Hasselblad 500CM 500C/M Planar C 80mm f2.8 Lens A12 From JAPAN,hasselblad 500c/m planar,Hasselblad,Film Cameras,Used,2499.99,USD,FIXED_PRICE,grail:500CM;good-cond,JP,good_time_camera,100.0,2026-08-05T23:03:15.000Z,,https://www.ebay.com/itm/407123231334?hash=item5eca6f8266:g:qjwAAeSwNKlqc8F2,https://i.ebayimg.com/images/g/qjwAAeSwNKlqc8F2/s-l225.jpg
合理,+0%,2550.0,9,92.0,[MINT+++ w/Grip] PLAUBEL Makina W67 6x7 Camera Nikkor 55mm f/4.5 Lens From JAPAN,plaubel w67,Plaubel,Film Cameras,Used,2559.99,USD,FIXED_PRICE,grail:6x7;mount:nikon f;55mm;good-cond,JP,vintage-brand-jpn,100.0,2026-08-06T16:50:14.000Z,,https://www.ebay.com/itm/398257126024?hash=item5cb9f97a88:g:JKYAAeSwSJFqdLvD,https://i.ebayimg.com/images/g/JKYAAeSwSJFqdLvD/s-l225.jpg
超值,-28%,3274.95,80,91.0,Contax G2 35mm Rangefinder Film Camera + Carl Zeiss Biogon 28mm f/2.8 Lens,contax g2,Contax,Film Cameras,Used,2350.0,USD,"FIXED_PRICE,BEST_OFFER",grail:Contax G2,US,szpot,100.0,2026-08-06T01:31:31.000Z,,https://www.ebay.com/itm/137591115667?hash=item200911cf93:g:AFsAAeSwLQFqc-FL,https://i.ebayimg.com/images/g/AFsAAeSwLQFqc-FL/s-l225.jpg
超值,-43%,209.99,80,90.0,[Top MINT] Nikon MB-21 Battery Grip for Nikon F4 F4s From JAPAN,nikon mb-21,Nikon,Film Cameras,Used,119.9,USD,FIXED_PRICE,grail:Nikon F4;good-cond,JP,falcon-4777-jp,100.0,2026-08-06T14:30:41.000Z,,https://www.ebay.com/itm/188752592645?hash=item2bf287ff05:g:A6gAAeSwoTxqdJuF,https://i.ebayimg.com/images/g/A6gAAeSwoTxqdJuF/s-l225.jpg
超值,-28%,249.0,80,90.0,[EXC+++++] Contax Carl Zeiss Planar T* 50mm F/1.4 Lens AEJ CY Mount From JAPAN,contax planar 50mm f1.4,Contax,Lenses,Used,179.99,USD,FIXED_PRICE,grail:Planar;good-cond,JP,ht-smile,100.0,2026-08-06T16:52:13.000Z,,https://www.ebay.com/itm/128014177339?hash=item1dce3d543b:g:52wAAeSwATdqCcWP,https://i.ebayimg.com/images/g/52wAAeSwATdqCcWP/s-l225.jpg
超值,-29%,619.99,80,90.0,[Near MINT w/Strap] Pentax 6x7 TTL Mirror Up Medium Format Camera Body From JP,pentax ttl mirror,Pentax,Film Cameras,Used,439.99,USD,FIXED_PRICE,grail:6x7;good-cond,JP,kimu_1572,100.0,2026-08-05T22:49:25.000Z,,https://www.ebay.com/itm/137590644558?hash=item20090a9f4e:g:VlUAAeSw2~5qc745,https://i.ebayimg.com/images/g/VlUAAeSw2~5qc745/s-l225.jpg
超值,-27%,929.99,77,90.0,▶️ Count:134 [EXC+5] Fuji Fujifilm Fujica GW690 Pro 6x9 Film Camera From JAPAN,fuji gw690,Fuji,Film Cameras,Used,679.99,USD,FIXED_PRICE,grail:GW690;good-cond,JP,nico_camera.japan,100.0,2026-08-06T13:58:12.000Z,,https://www.ebay.com/itm/128013933479?hash=item1dce399ba7:g:Ot4AAeSwY15qK2Vr,https://i.ebayimg.com/images/g/Ot4AAeSwY15qK2Vr/s-l225.jpg
